"","CPSID","county","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FSSTMPVALC","female","hispanic","black","kids","elderly","education","married","FSSTMPVALC_bin","FSSTMPVALC_bin_char"
"50","20210902069400","0",3886.5753,1,80,1,0,1,1,1,1,80,NA,0,0,0,0,1,1,0,0,"No"
"51","20210902072200","0",3747.4202,4,50,0,0,0,NA,NA,0,200,NA,2,0,0,1,2,2,2,0,"No"
"52","20210902074300","0",4957.205,2,225,0,0,0,NA,NA,0,450,NA,1,0,0,0,0,1,2,0,"No"
"53","20210902075500","17097",5212.8277,4,67.5,0,0,0,NA,NA,0,270,NA,2,0,0,2,0,2,2,0,"No"
"54","20210902076300","0",4422.5831,4,97.5,0,0,0,NA,NA,0,390,NA,2,0,0,2,0,1,2,0,"No"
"55","20210902081600","0",4629.3054,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,2,2,0,"No"
"56","20210902081900","17119",5212.8277,5,74,0,0,1,0,0,0,370,NA,2,0,0,2,0,1,2,0,"No"
"57","20210902082600","17111",3747.4202,3,46.6666666666667,1,1,1,1,1,1,140,NA,1,0,0,0,1,1,0,0,"No"
"58","20210902083500","17119",4080.6917,2,100,0,0,1,0,0,0,200,NA,1,0,0,0,2,1,2,0,"No"
"59","20210902089700","0",6114.3018,2,65,0,0,0,NA,NA,0,130,NA,1,0,2,0,2,2,2,0,"No"
"60","20210902091000","0",4589.6105,2,70,1,0,1,1,1,1,140,NA,1,2,0,0,2,1,2,0,"No"
"61","20210902092100","0",3747.4202,1,70,0,0,0,NA,NA,0,70,NA,1,0,0,0,1,1,0,0,"No"
"62","20210902092500","17163",3838.0944,1,40,0,0,1,0,0,0,40,NA,1,0,0,0,1,0,0,0,"No"
"63","20210902093400","0",3948.9319,1,80,0,0,0,NA,NA,0,80,NA,0,0,0,0,1,1,0,0,"No"
"64","20210902100600","17119",4629.3054,2,110,0,0,0,NA,NA,0,220,NA,1,0,0,0,1,1,2,0,"No"
"65","20210902101200","0",4299.1496,2,125,0,0,1,0,0,0,250,NA,1,2,0,0,0,0,0,0,"No"
"66","20210902101600","0",6485.0676,6,66.6666666666667,0,0,1,0,0,0,400,NA,4,3,6,2,1,2,2,0,"No"
"67","20210902101700","0",3615.7475,2,100,0,0,0,NA,NA,0,200,NA,1,0,0,0,2,1,0,0,"No"
